Year,Approx,Era,Year Era,Real Year,Start,End,Category,Character,Game,Source,Title,Image,Description
1165,FALSE,CE,1165 CE,"1,165",1165-01-01,1165-01-01,Characters,Altaïr Ibn-La'Ahad,Assassin's Creed,Altaïr Ibn-La'Ahad | Assassin's Creed Wiki,Birth of Altaïr Ibn-La'Ahad,,"Altaïr was born to Assassin parents: a Christian mother, Maud, and a Muslim father, Umar Ibn-La'Ahad.Raised to be an Assassin from birth, Altaïr became a Master Assassin at age 24, an accomplishment unheard of for one so young. "
1191,FALSE,CE,1191 CE,"1,191",1191-01-01,1191-01-01,Leap of Faith,Al Mualim,Assassin's Creed,Leap of Faith | Assassin's Creed Wiki,Show of Faith,,"During the defense of Masyaf, Al Mualim ordered several Assassins to perform the Leap of Faith before the Knights Templar gathered before the fortress, both to proclaim that the Assassins did not fear death, and to successfully trigger an ambush that would rout the attackers."
1191,FALSE,CE,1191 CE,"1,191",1191-01-01,1191-01-01,Characters,Altaïr Ibn-La'Ahad,Assassin's Creed,Altaïr Ibn-La'Ahad | Assassin's Creed Wiki,Altaïr Serves as Mentor to Assassin's Brotherhood,,"Altaïr Ibn-La'Ahad (Arabic: الطائر ابن لا أحد‎, 1165 – 1257) was a member of the Levantine Brotherhood of Assassins who served as their Mentor from 1191 until his death in 1257. During his tenure as Mentor, through the knowledge of an Apple of Eden, Altaïr made several discoveries and inventions that greatly helped the Order's progression. His leadership saw to the spread of the Assassins' influence throughout the Old World."
1191,FALSE,CE,1191 CE,"1,191",1191-01-01,1191-01-01,Characters,Altaïr Ibn-La'Ahad,Assassin's Creed,Altaïr Ibn-La'Ahad | Assassin's Creed Wiki,Altaïr kills Al Mualim,,"Upon retaking Masyaf, Altaïr witnessed Al Mualim's mind control over its people using the Piece of Eden. After a lengthy battle, Altaïr managed to defeat his Master and mortally wound him with his Hidden Blade. After Al Mualim uttered his last words, challenging Altaïr's strength of character and ability to destroy the Apple, the Piece of Eden rolled from his lifeless hand and activated.

Standing before a vast holographic image that projected from the orb, Altaïr was soon joined by Malik and his men, and together they observed the projection: a map of the world indicating the location of other Pieces of Eden."
1191,FALSE,CE,1191 CE,"1,191",1191-01-01,1191-01-01,Characters,Altaïr Ibn-La'Ahad,Assassin's Creed II,Altaïr Ibn-La'Ahad | Assassin's Creed Wiki,Altaïr Stops Ritual Removal of Assassin's Ring Finger,,"After earning the loyalty, respect and faith of almost the entire Order, Altaïr desired to tell the tale of his life, and began writing his Codex. As Mentor, he started to drastically change the methods and rituals practiced by the Order, encouraging low-profile techniques to effectively combat their Templar adversaries.

As the Assassins' main goal was to protect the people, Altaïr found the ritual removal of Assassins' ring fingers ""a false promise of paradise"" and the prohibition against poison to be useless. He redesigned the Hidden Blade so that it would not require the removal of the finger to function, and could dispense poison. "
1257,FALSE,CE,1257 CE,"1,257",1257-01-01,1257-01-01,Characters,Altaïr Ibn-La'Ahad,Assassin's Creed: Revelations,Altaïr Ibn-La'Ahad | Assassin's Creed Wiki,Death of Altaïr Ibn-La'Ahad,,"In the decade that followed his reclamation of the Order, Altaïr began building a library underneath the Masyaf fortress, where he stored thousands of books containing knowledge he had gained from the Apple. 

Additionally, Altaïr began to disperse the Order, stating that it should be spread throughout the world rather than contained in Masyaf.

Altaïr returned to Masyaf's castle and, once he was sure it had been evacuated, met with his son outside the library, which he discovered was actually meant to be a vault, inside which Altair planned to seal the Apple of Eden and himself. 

Altaïr entered and locked the library before hiding the Apple behind a far wall. He then seated himself in a chair in the centre of the library, imprinting a memory onto his sixth and final seal. Once he had done so, Altaïr Ibn-La'Ahad laid his head to one side and, at the age of 92, finally and peacefully passed away."
1459,FALSE,CE,1459 CE,"1,459",1459-01-01,1459-01-01,Characters,Ezio Auditore da Firenze,Assassin's Creed II,Ezio Auditore da Firenze | Assassin's Creed Wiki,Ezio is Born,,"Ezio was born in Firenze on 24 June 1459, as the second eldest child of Giovanni and Maria Auditore. Although he appeared to be stillborn at first, he began crying after some words of encouragement from his father. Giovanni remarked on the boy's ""fine set of lungs"" before proudly raising him in the air, naming him Ezio Auditore da Firenze."
1488,FALSE,CE,1488 CE,"1,488",1488-01-01,1488-01-01,Characters,Ezio Auditore da Firenze,Assassin's Creed II,Ezio Auditora da Firenze Biography,Ezio Initiated into the Brotherhood,,
1503,FALSE,CE,1503 CE,"1,503",1503-01-01,1503-01-01,Characters,Ezio Auditore da Firenze,Assassin's Creed II,Ezio Auditora da Firenze Biography,Ezio Becomes Mentor of Italian Brotherhood,,
1524,FALSE,CE,1524 CE,"1,524",1524-01-01,1524-01-01,Characters,Ezio Auditore da Firenze,Assassin's Creed II,Assassin's Creed Timeline | Gamesradar,Death of Ezio,,"Ezio befriends the Ottoman Assassins, falls in love with Sofia Sartor and claims the final key to Altair's library/vault in Masyaf. Here, Ezio speaks to Desmond as he realises that the message held within the Apple is not for the Italian Assassin. An Isu called Jupiter appears who warns Desmond of a great calamity that's going to destroy the earth. Again. She shows Desmond the location of the Grand Temple where he can stop the second disaster occuring.

Ezio realises that he is a mere messenger and returns to Sophia who he marries and has two children with. It sounds like a happy ending but tragically, Ezio dies suddenly at 65 in a Florentine Piazza. His injuries from his 30 years spent as an Assassin are blamed and our hearts are crushed. "
1693,FALSE,CE,1693 CE,"1,693",1693-01-01,1693-01-01,Characters,Edward Kenway,Assassin's Creed IV: Black Flag,Edward Kenway | Assassin's Creed Wiki,Edward Kenway Is Born,,Edward James Kenway (1693 – 1735) was a Welsh-born British privateer-turned-pirate and a member of the West Indies and British Brotherhoods of Assassins.
1715,FALSE,CE,1715 CE,"1,715",1715-01-01,1715-01-01,Characters,Edward Kenway,Assassin's Creed IV: Black Flag,Assassin's Creed Timeline | Gamesradar,Edward Kenway Finds Hidden Blade,,"The adventures of pirate Assassin Edward Kenway, experienced through DNA via the modern day Templar outfit Abstergo Entertainment, take place in the Caribbean in the 18th century. Edward actually doesn't start out as an Assassin, instead he finds a hidden blade after chasing down and murdering a member of the Brotherhood called Duncan Walpole."
1725,FALSE,CE,1725 CE,"1,725",1725-01-01,1725-01-01,Characters,Edward Kenway,Assassin's Creed IV: Black Flag,Edward Kenway | Assassin's Creed Wiki,Baby Haytham Kenway is Born,,"Upon receiving a pardon from Lord Walpole, he moved to London and joined the British Brotherhood, eventually gaining the rank of Master Assassin. While in London, he met Tessa Stephenson-Oakley, the daughter of the wealthy landowner from whom he rented his house. Using her family connections, Tessa assisted Edward in purchasing a manor on Queen Anne's Square, London, and by 1725, the two married and had a son, Haytham."
1735,FALSE,CE,1735 CE,"1,735",1735-01-01,1735-01-01,Characters,Edward Kenway,Assassin's Creed IV: Black Flag,Edward Kenway | Assassin's Creed Wiki,Edward Kenway is Killed by Mercenaries,,"On 3 December 1735, the Kenway household was infiltrated by masked men who kidnapped Jennifer and killed several of the servants. After making sure that his wife and son were safe, Edward raced to the games room and was confronted by two of the intruders. After a prolonged fight, one of the men managed to impale Edward through the chest with his sword, killing him instantly."
1754,FALSE,CE,1754 CE,"1,754",1754-01-01,1754-01-01,Characters,Haytham Kenway,Assassin's Creed III,Haytham Kenway | Assassin's Creed Wiki,Haytham Becomes First Grand Master of the Templar Order's Colonial Rite,,
2000,FALSE,CE,2000 CE,"2,000",2000-01-01,2000-01-01,Leap of Faith,Daniel Cross,Assassin's Creed: The Fall,Leap of Faith | Assassin's Creed Wiki,,,"In 2000, Daniel Cross performed a Leap of Faith into the Persian Gulf to escape the Assassins' Dubai headquarters, shortly after instinctively murdering the Mentor with his newly acquired Hidden Blade."
2012,FALSE,CE,2012 CE,"2,012",2012-01-01,2012-01-01,Extinction Events,Desmond Miles,,Second Disaster | Assassin's Creed Wiki,The Second Disaster,,"The Second Disaster, so named because it was a recurrence of the Toba catastrophe that nearly destroyed the Isu civilization, was a would-be cataclysmic event on 21 December 2012 triggered by a coronal mass ejection great enough to devastate the entire Earth. Predicted, but ignored for much of recorded human history, it promised to see the near complete destruction of mankind.  

Ultimately, the calamity was prevented through the efforts of the Assassins, who, guided by messages left by the Capitoline Triad, journeyed to the Grand Temple that housed a device called the global aurora borealis device capable of generating a planetary shield. On the day of the disaster, the Assassin Desmond Miles used the device to protect Earth from the CME, at the cost of his own life, and the release of a vengeful Juno from the Grand Temple. "
2012,FALSE,CE,2012 CE,"2,012",2012-01-01,2012-01-01,Isu,Juno,Assassin's Creed III,Do the Isu still exist somewhere? | Ubisoft Forum,One Isu Remains,,"An Isu named Juno surived the solar flare and was sealed in the Grand Temple. Desmond freed her in ACIII where she was able to upload herself into Abstergo computers in what she called ""The Grey"". Her plan was to become a real body with the Phoenix Project but was unable to due to her consciousness being spread too thin. 

Aletheia however technically lives in the Staff of Hermes is still alive. Until the staff is destroyed."
2012,FALSE,CE,2012 CE,"2,012",2012-01-01,2012-01-01,Leap of Faith,Desmond Miles,Assassin's Creed: Brotherhood,Leap of Faith | Assassin's Creed Wiki,Desmond's First Leap of Faith,,"In 2012, Desmond Miles performed his first Leap of Faith in Monteriggioni, after witnessing a vision of Ezio climbing to a View Point due to the Bleeding Effect. A few months later, Desmond executed another, much higher Leap of Faith in New York City, jumping from the One World Trade Center, before deploying a parachute to glide to another rooftop."
2017,FALSE,CE,2017 CE,"2,017",2017-01-01,2017-01-01,Characters,Aiden Pearce,Assassin's Creed Origins,Twinfinite,Olivier Garneau Killed by Watchdogs' Aiden Pearce,,"Watch Dogs protagonist Aiden Pearce kills an employee of Abstergo, Olivier Garneau, who was marked as wanted by the Brotherhood when examined through ctOS. Thanks to a file found on Layla Hassan’s computer, Aiden Pearce’s involvement in Olivier’s death is confirmed canon crossover. In the file you can see an image of Aiden standing over Olivier firing a pistol into his back as panic ensues around him."
2018,FALSE,CE,2018 CE,"2,018",2018-01-01,2018-01-01,Pieces of Eden,Layla Hassan,Assassin's Creed Odyssey,Staff of Hermes Trismegistus | Assassin's Creed Wiki,Staff Passed on to the Heir of Memories,,"Layla Hassan and her Assassin cell find the entrance to Atlantis where she meets Kassandra (who was kept alive by the staff). Kassandra hands the staff over to Layla believing her to be the Heir of Memories, instructing her to destroy it. Inside, Layla continues to relive Kassandra's genetic memories from the throne room, accompanied by Victoria, where they were ambushed by Templars commanded by Juhani Otso Berg. Layla killed all but one, then murdered Victoria as she tried to intercept the bloodshed. Soon after Layla defeated Otso in combat leaving him paralysed and her immortal."
2018,FALSE,CE,2018 CE,"2,018",2018-01-01,2018-01-01,Pieces of Eden,Layla Hassan,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,Layla Hassan Recovers the Spear,,"Using Kassandra's DNA found on the spear, Layla was able to relieve her memories through the Animus. Once Layla had found Atlantis and met Kassandra, kept alive by the Staff of Hermes Trismegistus, she tried offering the Spear back to her, only for Kassandra to reply that it was broken and that Layla could keep it."
2030,TRUE,CE,2030 CE,"2,030",2030-01-01,2030-01-01,Leap of Faith,,Watch Dogs: Legion,Gap in the Armous | Watch Dogs Wiki,A Watch Dogs Leap of Faith,,"A Deadsec recruit performs a Leap of Faith from a rogue ex-Albion prodigy 's flat building into Battlebridge Basin in Islington, London."
1937,FALSE,CE,1937 CE,"1,937",1937-01-01,1937-01-01,,,Assassin's Creed: Brotherhood,Abstergo Industries | Assassin's Creed Wiki,Abstergo Formed,,"Officially founded in 1937, Abstergo Industries was actually one small part of the Templar scheme to control the world through capitalism and scientific progress. Abstergo's origins lay in the perfection of the assembly line by Templar leaders Henry Ford and Ransom ""Ranny"" Olds, at the turn of the 20th century. The assembly line was an early means to control both workers and the capitalists who employed them, representing the first step in the Templars' goal to subjugate the world through economics."
1985,FALSE,CE,1985 CE,"1,985",1985-01-01,1985-01-01,,,Assassin's Creed: Brotherhood,Abstergo Industries | Assassin's Creed Wiki,Abstergo Realisations,,"Abstergo's research division was secretly working on a device capable of imitating the mind-controlling properties of a Piece of Eden across a network. In the same year, Abstergo developed its first fully-functional Animus device and began to seek out appropriate test subjects."
